Model,Equation,Numerator Terms,Denominator Terms,Any Negative in Denominator
0,x1_dot = (0.35*x1*x2 - 0.05001*x1)/(1.0*x2 + 1.0),2,2,False
1,x1_dot = (0.3507*x1*x2 - 0.05008*x1)/(1.0*x2 + 1.002),2,2,False
2,x1_dot = (-0.02869*x1*x2 - 0.002329*x1 + 0.006589*x2)/(-5.612*x1*x2 + 0.189*x1 + 1.0*x2),3,3,True
3,x1_dot = (0.3516*x1*x2 - 0.0502*x1)/(1.0*x2 + 1.004),2,2,False
4,x1_dot = (-0.001152*x1 + 0.0002933*x2)/(-11.57*x1*x2 + 2.088*x1 + 1.0*x2 - 0.1469),2,4,True
5,x1_dot = (-0.00126*x1 + 0.0007948*x2)/(-9.186*x1*x2 + 0.3383*x1 + 1.0*x2),2,3,True
6,x1_dot = (0.3476*x1*x2 - 0.04971*x1)/(1.0*x2 + 0.9937),2,2,False
